transportador_cpf_cnpj;tipo_conjunto;cavalo_placa;primeira_carreta_placa;segunda_carreta_placa;dolly_placa;prancha_placa;estados;comprimento;largura;altura;peso_total;observacoes
80432693000120;BITREM 9 eixos;RDT7J15;RAI1B75;RAI1B55;;;BA,DNIT,MG,PE,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RDT8D06;RAJ9A15;RAJ9A25;;;BA,DNIT,GO,PR;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;REA3H84;RAI1A95;RAI1A25;;;BA,DNIT,MG,PE,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RKY2G84;RLA0E82;RLA0G22;;;BA,DNIT,MG,PE;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLE9I47;RAI-5018;RAI-5258;;;BA,DNIT,GO,PR,SP;25.8;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLI1I34;RLH3I62;RLH3I42;;;BA,DNIT,PA,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLI1I34;RLH3I62;RLH3I42;;;BA,DNIT,PA,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLI1J34;RLA0F82;RLA0G62;;;BA,DNIT,PA,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLI2D94;RLK0A53;RLJ9D43;;;BA,DNIT,PA,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLI2F84;RLH3I92;RLH3I72;;;BA,DNIT,PA,PR,SP;25.4;2.6;4.4;74.0;renovação
80432693000120;BITREM 9 eixos;RLI2G14;RLK1F53;RLK1E73;;;BA,DNIT,PA,PR,SP;25.4;2.6;4.4;74.0;renovação
